Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Colorado,2020,31,2020-08-01,812,703,,159,21,33,,41,,,,155,38,36,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Colorado,2020,32,2020-08-08,840,730,10,160,20,46,,45,,,19,145,39,39,34,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Colorado,2020,33,2020-08-15,830,709,10,143,23,35,,46,,,12,159,38,28,23,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Colorado,2020,34,2020-08-22,859,744,10,150,22,41,,50,11,13,24,167,24,19,15,,,,,,,Suppressed (counts 1-9),,,,,,,,
Colorado,2020,35,2020-08-29,815,718,,162,17,34,,39,,,22,139,53,29,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Colorado,2020,36,2020-09-05,739,653,,143,13,31,,34,10,,28,125,43,20,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Colorado,2020,37,2020-09-12,843,773,,166,27,31,,41,,10,45,147,45,33,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Colorado,2020,38,2020-09-19,800,721,10,160,24,46,,34,,,55,134,30,21,20,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Colorado,2020,39,2020-09-26,833,763,,160,17,33,,48,14,10,65,153,38,25,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Colorado,2020,40,2020-10-03,770,715,10,146,17,30,,37,11,,66,127,48,33,27,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Colorado,2020,41,2020-10-10,778,716,,144,15,35,,37,10,,73,148,32,38,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Colorado,2020,42,2020-10-17,816,778,12,162,21,36,,33,13,14,76,139,40,36,31,,,,,,,Suppressed (counts 1-9),,,,,,,,
Colorado,2020,43,2020-10-24,652,620,,127,15,39,,36,12,,58,95,42,33,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Connecticut,2019,1,2019-01-05,631,592,12,127,17,15,,22,,,13,161,31,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2019,2,2019-01-12,628,575,,128,14,26,17,27,,12,,158,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,3,2019-01-19,627,586,19,122,18,12,17,46,12,15,,148,27,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,4,2019-01-26,734,688,15,144,24,25,23,29,10,21,,171,29,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,5,2019-02-02,657,614,12,133,16,21,15,40,14,18,,152,24,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,6,2019-02-09,689,629,14,145,20,30,16,34,13,,,170,26,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,7,2019-02-16,670,614,13,101,23,17,15,30,10,22,,176,35,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,8,2019-02-23,681,633,14,138,15,22,22,32,14,12,12,151,22,0,0,,,,,,,,,,,,,,,
Connecticut,2019,9,2019-03-02,653,601,17,119,12,18,13,30,13,,,164,28,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,10,2019-03-09,644,587,18,131,20,12,13,31,12,15,,142,30,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,11,2019-03-16,677,627,14,129,10,31,27,30,15,13,,162,23,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,12,2019-03-23,682,625,10,137,14,25,12,31,10,12,,170,31,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,13,2019-03-30,629,569,15,121,13,18,13,38,14,,,143,33,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,14,2019-04-06,636,579,14,118,18,24,17,30,,12,12,139,22,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Connecticut,2019,15,2019-04-13,656,610,17,134,23,11,16,29,12,19,,146,40,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,16,2019-04-20,598,561,16,111,15,28,13,35,,17,16,146,25,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Connecticut,2019,17,2019-04-27,609,563,13,139,13,13,,30,15,14,,133,33,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,18,2019-05-04,613,562,17,125,11,17,16,23,15,13,,151,20,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,19,2019-05-11,578,515,13,109,12,17,11,18,11,11,,132,29,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,20,2019-05-18,574,534,10,121,16,21,,33,10,,,154,13,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,21,2019-05-25,586,532,12,136,17,11,,31,,14,,141,26,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,22,2019-06-01,558,511,,116,,20,11,23,,12,,130,23,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,23,2019-06-08,666,589,16,140,19,16,23,35,10,15,13,119,34,0,0,,,,,,,,,,,,,,,
Connecticut,2019,24,2019-06-15,537,491,,119,18,15,,30,10,16,,114,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,25,2019-06-22,538,493,10,109,,12,,36,,11,,127,32,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,26,2019-06-29,591,533,10,125,15,18,,24,14,,,134,29,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,27,2019-07-06,589,525,11,119,15,17,10,26,12,11,,137,32,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2019,28,2019-07-13,591,532,11,120,15,21,10,32,,13,,142,30,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,29,2019-07-20,560,501,,133,12,13,,16,13,13,,124,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,30,2019-07-27,588,521,11,129,,24,,22,11,11,,141,19,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,31,2019-08-03,560,504,,128,10,19,,30,,10,10,124,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Connecticut,2019,32,2019-08-10,596,522,12,127,14,,,22,11,,,150,26,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,33,2019-08-17,557,496,,125,,16,10,16,,,,130,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,34,2019-08-24,565,496,,119,12,21,,22,13,12,,116,17,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,35,2019-08-31,591,522,,128,15,20,,18,,,,132,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,36,2019-09-07,562,506,10,98,15,18,10,38,,,,131,30,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,37,2019-09-14,551,506,12,140,16,10,10,20,,,,125,23,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,38,2019-09-21,596,539,,119,19,16,,19,12,,11,131,26,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Connecticut,2019,39,2019-09-28,563,505,13,123,14,15,,28,,16,,122,15,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,40,2019-10-05,579,516,,119,17,16,,18,,11,,155,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Connecticut,2019,41,2019-10-12,576,535,11,137,12,17,12,20,12,,,130,23,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,42,2019-10-19,603,550,,133,13,16,,24,10,14,,120,40,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,43,2019-10-26,555,504,13,113,,19,,17,,,,121,32,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2019,44,2019-11-02,611,547,12,142,17,19,,15,,10,11,124,18,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Connecticut,2019,45,2019-11-09,602,546,,122,11,20,,15,10,14,,155,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Connecticut,2019,46,2019-11-16,639,593,10,132,16,22,13,24,10,,12,153,26,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Connecticut,2019,47,2019-11-23,643,586,15,149,12,21,10,24,10,11,10,129,32,0,0,,,,,,,,,,,,,,,
Connecticut,2019,48,2019-11-30,657,610,,150,19,23,,25,10,16,12,131,34,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2019,49,2019-12-07,625,566,10,107,16,19,11,31,,11,13,149,25,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Connecticut,2019,50,2019-12-14,642,582,11,123,19,24,,27,13,16,10,141,20,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2019,51,2019-12-21,647,605,12,137,,23,11,24,13,17,15,166,25,0,0,,,,,Suppressed (counts 1-9),,,,,,,,,,
Connecticut,2019,52,2019-12-28,625,577,16,112,11,20,14,30,15,12,19,126,36,0,0,,,,,,,,,,,,,,,
Connecticut,2020,1,2020-01-04,632,575,11,123,12,15,,17,11,13,12,158,29,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2020,2,2020-01-11,629,575,15,133,14,19,19,35,,,10,134,28,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2020,3,2020-01-18,639,589,,144,10,23,12,28,16,11,14,150,22,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Connecticut,2020,4,2020-01-25,652,597,14,138,16,27,14,27,13,,,155,25,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2020,5,2020-02-01,680,611,11,133,15,13,22,33,13,17,,164,28,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2020,6,2020-02-08,647,592,20,129,13,18,21,28,16,,,146,19,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2020,7,2020-02-15,632,586,15,118,15,23,18,32,10,11,14,151,32,0,0,,,,,,,,,,,,,,,
Connecticut,2020,8,2020-02-22,647,596,14,139,18,12,21,18,15,10,,161,25,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Connecticut,2020,9,2020-02-29,632,575,13,112,17,20,27,33,,11,13,152,28,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Connecticut,2020,10,2020-03-07,621,561,,109,19,12,,37,15,15,14,137,24,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2020,11,2020-03-14,626,578,13,128,16,17,15,27,15,11,20,125,37,0,0,,,,,,,,,,,,,,,
Connecticut,2020,12,2020-03-21,660,602,10,149,18,14,14,25,12,10,11,141,33,11,10,,,,,,,,,,,,,,,
Connecticut,2020,13,2020-03-28,736,680,14,121,12,22,13,36,12,10,16,156,37,48,45,,,,,,,,,,,,,,,
Connecticut,2020,14,2020-04-04,876,807,14,121,14,27,21,25,12,11,19,152,29,207,202,,,,,,,,,,,,,,,
Connecticut,2020,15,2020-04-11,1250,1187,15,139,27,33,16,36,15,13,15,170,24,511,487,,,,,,,,,,,,,,,
Connecticut,2020,16,2020-04-18,1377,1323,14,125,18,25,11,20,19,17,20,170,27,675,648,,,,,,,,,,,,,,,
Connecticut,2020,17,2020-04-25,1330,1280,12,116,21,26,12,25,20,10,18,132,33,673,645,,,,,,,,,,,,,,,
Connecticut,2020,18,2020-05-02,1163,1115,,129,22,31,12,22,13,20,11,130,26,569,538,,,Suppressed (counts 1-9),,,,,,,,,,,,
Connecticut,2020,19,2020-05-09,1048,992,13,123,18,27,,19,22,,,120,27,464,439,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2020,20,2020-05-16,944,887,,117,15,19,,23,14,13,12,131,24,382,363,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2020,21,2020-05-23,813,764,,104,14,24,,27,18,10,10,117,26,283,255,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2020,22,2020-05-30,749,705,,116,12,21,,15,13,10,14,129,27,209,189,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Connecticut,2020,23,2020-06-06,659,609,13,107,13,22,10,25,17,,15,115,30,118,102,,,,,,,,,,Suppressed (counts 1-9),,,,,
Connecticut,2020,24,2020-06-13,627,559,,133,20,23,,15,,,,105,27,86,68,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2020,25,2020-06-20,572,519,,132,16,20,,14,12,,,104,26,44,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Connecticut,2020,26,2020-06-27,590,543,11,126,17,14,,21,,,12,127,28,44,33,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2020,27,2020-07-04,543,495,,115,12,17,,21,,12,12,124,21,23,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Connecticut,2020,28,2020-07-11,602,540,,137,11,17,,24,,,10,133,18,25,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2020,29,2020-07-18,558,493,10,115,14,13,,21,16,,14,120,33,17,13,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Connecticut,2020,30,2020-07-25,577,524,,110,16,27,,23,,,11,135,28,14,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2020,31,2020-08-01,537,472,,126,14,19,,12,,,16,119,23,10,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Connecticut,2020,32,2020-08-08,571,506,,129,20,26,,17,,,14,117,29,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,33,2020-08-15,548,513,,129,16,17,,23,,,23,119,27,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,34,2020-08-22,530,487,,110,17,20,,25,,12,21,103,22,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,35,2020-08-29,500,480,,110,11,17,,15,,,30,91,27,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,36,2020-09-05,529,490,,109,13,23,13,15,,,34,96,25,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,37,2020-09-12,547,518,15,119,,14,12,19,10,,47,104,26,,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,38,2020-09-19,507,474,,104,13,14,,19,,12,38,103,22,12,11,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Connecticut,2020,39,2020-09-26,541,516,,110,16,13,,30,,,50,122,33,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Connecticut,2020,40,2020-10-03,328,312,,78,,15,,12,,,26,61,10,16,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Connecticut,2020,41,2020-10-10,79,63,,,0,0,,0,,,21,,,11,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9)
Connecticut,2020,42,2020-10-17,38,35,,,,0,,,0,0,,,0,14,13,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Connecticut,2020,43,2020-10-24,10,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Delaware,2019,1,2019-01-05,185,171,,50,,,,11,,,,37,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,2,2019-01-12,195,179,,42,,,,,,,,44,14,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,3,2019-01-19,199,187,,46,,10,,12,,,0,40,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Delaware,2019,4,2019-01-26,186,165,,33,,,,21,0,,0,35,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Delaware,2019,5,2019-02-02,190,177,,40,,10,,11,,,,48,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,6,2019-02-09,182,169,,34,,10,,12,,,0,45,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Delaware,2019,7,2019-02-16,194,173,,41,,11,,11,,,0,41,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Delaware,2019,8,2019-02-23,187,173,,45,,,,11,,,0,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Delaware,2019,9,2019-03-02,174,158,,38,,,,,,0,0,39,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
Delaware,2019,10,2019-03-09,207,184,0,52,,,,10,,,,56,13,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,11,2019-03-16,184,165,,38,,,,10,,,0,45,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Delaware,2019,12,2019-03-23,177,163,,45,,,,,,,,34,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,13,2019-03-30,185,174,,34,,,,11,0,,,52,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Delaware,2019,14,2019-04-06,163,147,,42,,,,,,,,30,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,15,2019-04-13,147,140,,33,,,,,,,,32,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,16,2019-04-20,183,163,,45,,,,,,,0,36,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Delaware,2019,17,2019-04-27,165,151,,35,0,,,,,,0,47,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Delaware,2019,18,2019-05-04,149,132,,38,,,0,10,,,,29,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,19,2019-05-11,159,140,,37,,,0,,,,,33,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,20,2019-05-18,163,142,,30,,,,13,,,,31,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,21,2019-05-25,181,161,,47,,,0,,,,,44,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Delaware,2019,22,2019-06-01,195,172,,47,,,,14,,,0,36,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Delaware,2019,23,2019-06-08,158,143,,39,,,,13,,,,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Delaware,2019,24,2019-06-15,172,155,,38,,,,,,,,32,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,25,2019-06-22,177,155,,31,,,,11,,,,40,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,26,2019-06-29,163,140,,32,,,,,,,,30,14,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Delaware,2019,27,2019-07-06,192,171,,58,,,,14,,,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
